,state,district,repcandidate,demcandidate,rep_score,rep_incumbent,dem_incumbent,state_fips,minority_percentage,pres_approval,same_as_pres_party_rep,same_as_pres_party_dem,log_med_income,year,dem_percent,dem_is_female,rep_is_female,rep_primary_percent,dem_primary_percent,labor_force
8856,Connecticut,1,"Rittenband, Richard M.","Cotter, William R.",0.4239,False,False,9,,,,,,1972,,,,,,
8857,California,14,"Sims, Floyd E.","Waldie, Jerome R.",0.2243,False,True,6,,,,,,1972,,,,,,
8858,California,17,"McCloskey, Paul Norton Jr.","Stewart, James",0.6028,True,False,6,,,,,,1972,,,,,,
8859,New Jersey,1,"Hunt, John E.","Florio, James J.",0.5274,True,False,34,,,,,,1972,,,,,,
8860,California,31,"Valentine, Ben","Wilson, Charles H.",0.44799999999999995,False,False,6,,,,,,1972,,,,,,
8861,California,43,"Veysey, Victor V.","Robles, Ernest Z.",0.6272,True,False,6,,,,,,1972,,,,,,
8862,California,42,"Burgener, Clair W.","Lowe, Bob",0.6986,False,False,6,,,,,,1972,,,,,,
8863,California,41,"Kau, D. Richard","Van Deerlin, Lionel",0.2595,False,True,6,,,,,,1972,,,,,,
8864,California,40,"Wilson, Robert Carlton","Capaio, Frank",0.6912,True,False,6,,,,,,1972,,,,,,
8865,California,39,"Hinshaw, Andrew J.","Black, John W.",0.657,False,False,6,,,,,,1972,,,,,,
8866,California,38,"Snider, Howard J.","Brown, George E. Jr.",0.43689999999999996,False,True,6,,,,,,1972,,,,,,
8867,California,37,"Tria, Gregg","Burke, Yvonne Brathwaite",0.2518,False,False,6,,,,,,1972,,,,,,
8868,California,36,"Ketchum, William M.","Lemucchi, Timothy",0.5481,False,False,6,,,,,,1972,,,,,,
8869,California,35,"Brown, Vernon E.","Anderson, Glenn M.",0.2521,False,True,6,,,,,,1972,,,,,,
8870,California,34,"Ratterree, John D.","Hanna, Richard T.",0.3013,False,True,6,,,,,,1972,,,,,,
8871,California,33,"Pettis, Jerry L.","Thompson, Ken",0.7502,True,False,6,,,,,,1972,,,,,,
8872,California,32,"Hosmer, Craig","Murray, Dennis",0.6735,True,False,6,,,,,,1972,,,,,,
8873,California,30,"Brophy, Bill","Roybal, Edward R.",0.295,False,False,6,,,,,,1972,,,,,,
8874,California,18,"Mathias, Robert B.","Lavery, Vincent J.",0.6636,True,False,6,,,,,,1972,,,,,,
8875,California,29,"Ferraro, Richard E.","Danielson, George E.",0.3481,False,True,6,,,,,,1972,,,,,,
8876,California,28,"Bell, Alphonzo","Shapiro, Michael",0.618,True,False,6,,,,,,1972,,,,,,
8877,California,27,"Goldwater, Barry Jr.","Novak, Mark S.",0.5743,True,False,6,,,,,,1972,,,,,,
8878,California,26,"Rutta, Philip R.","Rees, Thomas M.",0.2888,False,True,6,,,,,,1972,,,,,,
8879,Alaska,0,"Young, Don","Begich, Nicholas J.",0.4376,False,True,2,,,,,,1972,,,,,,
8880,California,25,"Wiggins, Charles E.","Craven, Leslie W.",0.6704000000000001,True,False,6,,,,,,1972,,,,,,
8881,California,24,"Rousselot, John H.","Mandell, Luther",0.7014,True,False,6,,,,,,1972,,,,,,
8882,California,23,"Clawson, Del","Tuohey, Conrad D.",0.6143,True,False,6,,,,,,1972,,,,,,
8883,California,22,"Wolfe, Bruce P.","Corman, James C.",0.302,False,True,6,,,,,,1972,,,,,,
8884,California,21,"Lundy, Rayfield","Hawkins, Augustus",0.1707,False,True,6,,,,,,1972,,,,,,
