,district,CANDIDATE NAME,PARTY,PRIMARY %,YEAR
367,MA03,"McGovern, James P.",D,99.15%,2010
368,MA03,"Lamb, Martin A.",R,31.12%,2010
369,MA04,"Frank, Barney",D,79.40%,2010
370,MA04,"Bielat, Sean DM",R,60.01%,2010
371,MA05,"Tsongas, Nicola S.",D,98.92%,2010
372,MA05,"Golnik, Jonathan A.",R,38.55%,2010
373,MA06,"Tierney, John F.",D,98.15%,2010
374,MA06,"Hudak, Bill",R,76.29%,2010
375,MA07,"Markey, Edward J.",D,98.79%,2010
376,MA07,"Dembrowski, Gerry",R,55.98%,2010
377,MA08,"Capuano, Michael E.",D,98.94%,2010
378,MA09,"Lynch, Stephen F.",D,64.71%,2010
379,MA09,"Harrison, Vernon M.",R,62.48%,2010
380,MA10,"Keating, William R.",D,50.93%,2010
381,MA10,"Perry, Jeffrey Davis ",R,60.56%,2010
382,MI01,"Benishek, Dan",R,38.14%,2010
383,MI01,"McDowell, Gary",D,100.00%,2010
384,MI02,"Huizenga, Bill",R,25.40%,2010
385,MI02,"Johnson, Fred",D,59.94%,2010
386,MI03,"Amash, Justin",R,40.35%,2010
387,MI03,"Miles, Pat",D,68.53%,2010
388,MI04,"Camp, Dave",R,100.00%,2010
389,MI04,"Campbell, Jerry M.",D,100.00%,2010
390,MI05,"Kildee, Dale",D,78.43%,2010
391,MI05,"Kupiec, John",R,55.69%,2010
392,MI06,"Upton, Fred",R,57.12%,2010
393,MI06,"Cooney, Don",D,100.00%,2010
394,MI07,"Walberg, Tim",R,57.47%,2010
395,MI07,"Schauer, Mark",D,100.00%,2010
396,MI08,"Rogers, Mike",R,99.98%,2010
397,MI09,"Peters, Gary",D,100.00%,2010
398,MI09,"Raczkowski, Rocky",R,41.97%,2010
399,MI10,"Miller, Candice S.",R,100.00%,2010
400,MI10,"Yanez, Henry",D,100.00%,2010
401,MI11,"McCotter, Thaddeus G.",R,100.00%,2010
402,MI11,"Mosher, Natalie",D,100.00%,2010
403,MI12,"Levin, Sander",D,76.02%,2010
404,MI12,"Volaric, Don",R,100.00%,2010
405,MI13,"Clarke, Hansen",D,47.32%,2010
406,MI13,"Hauler, John",R,100.00%,2010
407,MI14,"Conyers, John, Jr.",D,100.00%,2010
408,MI14,"Ukrainec, Don",R,55.43%,2010
